name,gender,age,DetailClass,embarked,country,ticketno,fare,sibsp,parch,survived,class
"Andreasson, Mr. Pål Edvin",male,20,3rd,S,Sweden,347466,7.1701,0,0,no,3rd
"Andrew, Mr. Edgar Samuel",male,17,2nd,S,Argentina,231945,11.1,0,0,no,2nd
"Andrew, Mr. Frank Thomas",male,27,2nd,S,England,34050,10.1,0,0,no,2nd
"Andrews, Miss. Kornelia Theodosia",female,62,1st,C,United States,13502,77.1902,1,0,yes,1st
"Andrews, Mr. Thomas",male,39,1st,B,Northern Ireland,112050,,0,0,no,1st
"Angheloff, Mr. Minko",male,26,3rd,S,Bulgaria,349202,7.1711,0,0,no,3rd
"Angle, Mrs. Florence Agnes",female,36,2nd,S,England,226875,26,1,0,yes,2nd
"Angle, Mr. William",male,31,2nd,S,England,226875,26,1,0,no,2nd
"Appleton, Mrs. Charlotte",female,53,1st,S,United States,11769,51.0907,2,0,yes,1st
"Arnold-Franchi, Mr. Josef",male,25,3rd,S,Switzerland,349237,17.16,1,0,no,3rd
"Arnold-Franchi, Mrs. Josefine",female,18,3rd,S,Switzerland,349237,17.16,1,0,no,3rd
"Aronsson, Mr. Ernst Axel Algot",male,25,3rd,S,Sweden,349911,7.1506,0,0,no,3rd
"Artagaveytia, Mr. Ramon",male,71,1st,C,Argentina,17609,49.1001,0,0,no,1st
"Ashby, Mr. John",male,57,2nd,S,England,244346,13,0,0,no,2nd
"Asim, Mr. Adola",male,35,3rd,S,Argentina,3101310,7.01,0,0,no,3rd
"Asplund, Master. Carl Edgar",male,5,3rd,S,Sweden,347077,31.0709,4,2,no,3rd
"Asplund, Master. Clarence Gustaf Hugo",male,9,3rd,S,Sweden,347077,31.0709,4,2,no,3rd
"Asplund, Master. Edvin Rojj Felix",male,3,3rd,S,Sweden,347077,31.0709,4,2,yes,3rd
"Asplund, Master. Filip Oscar",male,13,3rd,S,Sweden,347077,31.0709,4,2,no,3rd
"Asplund, Miss. Lillian Gertrud",female,5,3rd,S,Sweden,347077,31.0709,4,2,yes,3rd
"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",male,40,3rd,S,Sweden,347077,31.0709,1,5,no,3rd
"Asplund, Mr. Johan Charles",male,13,3rd,S,Sweden,350054,7.1511,0,0,yes,3rd
"Asplund, Mrs. Selma Augusta Emilia",female,38,3rd,S,Sweden,347077,31.0709,1,5,yes,3rd
"Assaf, Mrs. Mariana",female,45,3rd,C,Lebanon,2696,7.0406,0,0,yes,3rd
"Assam, Mr. Ali",male,23,3rd,S,Argentina,3101309,7.01,0,0,no,3rd
"Astor, Colonel. John Jacob",male,47,1st,C,United States,17757,247.1006,1,0,no,1st
"Astor, Mrs. Madeleine Talmage",female,18,1st,C,United States,17757,247.1006,1,0,yes,1st
"Attalah, Miss. Malake",female,17,3rd,C,Lebanon,2627,14.0902,0,0,no,3rd
"Attala, Mr. Sleiman",male,27,3rd,C,Canada,2694,7.0406,0,0,no,3rd
"Aubart, Mme. Léontine Pauline",female,24,1st,C,France,17477,69.06,0,0,yes,1st
"Augustsson, Mr. Albert",male,23,3rd,S,Sweden,347468,7.1701,0,0,no,3rd
"Ayoub Daher, Miss. Banoura",female,15,3rd,C,Lebanon,2687,7.0407,0,0,yes,3rd
"Backström, Mr. Karl Alfred",male,32,3rd,S,Finland,3101278,15.17,1,0,no,3rd
"Backström, Mrs. Maria Mathilda",female,33,3rd,S,Finland,3101278,15.17,3,0,yes,3rd
"Baclini, Miss. Eugenie",female,3,3rd,C,Lebanon,2666,19.0502,2,1,yes,3rd
"Baclini, Miss. Helene Barbara",female,0.75,3rd,C,Lebanon,2666,19.0502,2,1,yes,3rd
"Baclini, Miss. Marie Catherine",female,5,3rd,C,Lebanon,2666,19.0502,2,1,yes,3rd
"Baclini, Mrs. Latifa",female,23,3rd,C,Lebanon,2666,19.0502,0,3,yes,3rd
"Badman, Miss. Emily Louisa",female,18,3rd,S,England,31416,8.01,0,0,yes,3rd
"Badt, Mr. Mohamed",male,40,3rd,C,Lebanon,2623,7.0406,0,0,no,3rd
"Bailey, Mr. Percy",male,18,2nd,S,England,29108,11.1,0,0,no,2nd
"Bainbrigge, Mr. Charles Robert",male,22,2nd,S,Channel Islands,31030,10.1,0,0,no,2nd
"Balkic, Mr. Cerin",male,26,3rd,S,Bosnia,349248,7.1711,0,0,no,3rd
"Balls, Mrs. Ada E.",female,36,2nd,S,England,28551,13,0,0,yes,2nd
"Banfield, Mr. Frederick James",male,28,2nd,S,England,34068,10.1,0,0,no,2nd
"Banski, Mrs. Mara",female,31,3rd,S,Hungary,349244,8.1308,0,0,yes,3rd
"Barbara, Miss. Saiide",female,18,3rd,C,Lebanon,2691,14.0901,0,1,no,3rd
"Barbara, Mrs. Catherine David",female,45,3rd,C,Lebanon,2691,14.0901,0,1,no,3rd
"Barber, Miss. Ellen Mary",female,27,1st,S,NA,19877,78.17,0,0,yes,1st
"Barkworth, Mr. Algernon Henry",male,47,1st,S,England,27042,30,0,0,yes,1st
"Barry, Miss. Julia",female,33,3rd,Q,Ireland,330844,7.1707,0,0,no,3rd
"Barton, Mr. David John",male,22,3rd,S,England,324669,8.01,0,0,no,3rd
"Bassani, Mrs. Albina",female,32,1st,C,Italy,11813,76.051,0,0,yes,1st
"Bateman, Revd. Robert James",male,52,2nd,S,England,1166,12.1006,0,0,no,2nd
"Batoshev, Mr. Hristo Lalev",male,23,3rd,S,Bulgaria,349217,7.1711,0,0,no,3rd
"Baumann, Mr. John D.",male,60,1st,C,United States,17318,25.1806,0,0,no,1st
"Baxter, Mr. Quigg Edmond",male,24,1st,C,Canada,17558,247.1005,0,1,no,1st
"Baxter, Mrs. Hélène",female,50,1st,C,Canada,17558,247.1005,0,1,yes,1st
"Beane, Mr. Edward",male,32,2nd,S,England,2908,26,1,0,yes,2nd
"Beane, Mrs. Ethel",female,22,2nd,S,England,2908,26,1,0,yes,2nd
"Beattie, Mr. Thomson",male,36,1st,S,Canada,13050,75.041,0,0,no,1st
"Beauchamp, Mr. Henry James",male,44,2nd,S,England,244358,26,0,0,no,2nd
"Beavan, Mr. William Thomas",male,20,3rd,S,England,323951,8.01,0,0,no,3rd
"Becker, Master. Richard F.",male,1,2nd,S,India,230136,39,2,1,yes,2nd
"Becker, Miss. Marion Louise",female,4,2nd,S,India,230136,39,2,1,yes,2nd
"Becker, Miss. Ruth Elizabeth",female,12,2nd,S,India,230136,39,2,1,yes,2nd
"Becker, Mrs. Nellie E.",female,35,2nd,S,United States,230136,39,0,3,yes,2nd
"Beckwith, Mr. Richard Leonard",male,37,1st,S,United States,11751,52.1101,1,1,yes,1st
"Beckwith, Mrs. Sallie",female,46,1st,S,United States,11751,52.1101,1,1,yes,1st
"Beesley, Mr. Lawrence",male,34,2nd,S,England,248698,13,0,0,yes,2nd
"Behr, Mr. Karl Howell",male,26,1st,C,United States,111369,30,0,0,yes,1st
"Bengtsson, Mr. Johan Viktor",male,26,3rd,S,Sweden,347068,7.1506,0,0,no,3rd
"Bentham, Miss. Lillian W.",female,19,2nd,S,United States,28404,13,0,0,yes,2nd
"Berglund, Mr. Karl Ivar Sven",male,22,3rd,S,Finland,4348,9.07,0,0,no,3rd
"Berriman, Mr. William John",male,23,2nd,S,England,28425,13,0,0,no,2nd
"Bessette, Miss. Nellie Mayo",female,39,1st,C,United States,17760,63.0702,0,0,yes,1st
"Bidois, Miss. Rosalie",female,46,1st,C,NA,17757,247.1006,0,0,yes,1st
"Bing, Mr. Lee",male,32,3rd,S,NA,1601,56.0911,0,0,yes,3rd
"Bird, Miss. Ellen",female,31,1st,S,England,17483,221.1507,0,0,yes,1st
"Birkeland, Mr. Hans Martin Monsen",male,21,3rd,S,Norway,312992,7.1506,0,0,no,3rd
"Birnbaum, Mr. Jakob",male,24,1st,C,NA,13905,26,0,0,no,1st
"Bishop, Mr. Dickinson H.",male,25,1st,C,United States,11967,91.0107,1,0,yes,1st
"Bishop, Mrs. Helen",female,19,1st,C,United States,11967,91.0107,1,0,yes,1st
"Björklund, Mr. Ernst Herbert",male,18,3rd,S,Sweden,347090,7.15,0,0,no,3rd
"Björnström-Steffansson, Mr. Mauritz Hokan",male,28,1st,S,Sweden,110564,26.11,0,0,yes,1st
"Blackwell, Mr. Stephen Weart",male,45,1st,S,United States,113784,35.1,0,0,no,1st
"Blank, Mr. Henry",male,39,1st,C,United States,112277,31,0,0,yes,1st
"Bonnell, Miss. Caroline",female,30,1st,S,United States,36928,164.1704,0,0,yes,1st
"Bonnell, Miss. Elizabeth",female,61,1st,S,England,113783,26.11,0,0,yes,1st
"Borebank, Mr. John James",male,41,1st,S,England,110489,26.11,0,0,no,1st
"Bostandyeff, Mr. Guentcho",male,26,3rd,S,NA,349224,7.1711,0,0,no,3rd
"Botsford, Mr. William Hull",male,25,2nd,S,United States,237670,13,0,0,no,2nd
"Bourke, Miss. Mary",female,40,3rd,Q,Ireland,364848,7.15,0,2,no,3rd
"Bourke, Mr. John",male,42,3rd,Q,Ireland,364849,15.1,1,1,no,3rd
"Bourke, Mrs. Catherine",female,32,3rd,Q,Ireland,364849,15.1,1,1,no,3rd
"Bowen, Miss. Grace Scott",female,45,1st,C,United States,17608,262.0706,0,0,yes,1st
"Bowen, Mr. David John 'Dai'",male,26,3rd,S,Wales,54636,16.02,0,0,no,3rd
"Bowenur, Mr. Solomon",male,42,2nd,S,NA,211535,13,0,0,no,2nd
"Bowerman, Miss. Elsie Edith",female,22,1st,S,England,113505,55,0,1,yes,1st
"Bracken, Mr. James Hollen",male,30,2nd,S,United States,220367,13,0,0,no,2nd
"Bradley, Miss. Bridget Delia",female,22,3rd,Q,Ireland,334914,7.1406,0,0,yes,3rd
"Brady, Mr. John Bertram",male,41,1st,S,United States,113054,30.1,0,0,no,1st
"Braf, Miss. Elin Ester Maria",female,20,3rd,S,Sweden,347471,7.1701,0,0,no,3rd
"Brailey, Mr. William Theodore Ronald",male,24,2nd,S,England,250654,,,,no,2nd
"Brandeis, Mr. Emil Franklin",male,48,1st,C,United States,17591,50.0911,0,0,no,1st
"Braund, Mr. Lewis Richard",male,29,3rd,S,England,3460,7,1,0,no,3rd
"Braund, Mr. Owen Harris",male,23,3rd,S,England,21171,7.05,1,0,no,3rd
"Brereton, Mr. George Andrew",male,37,1st,S,United States,111427,26.11,0,0,yes,1st
"Brewe, Dr. Arthur Jackson",male,46,1st,C,United States,112379,39.12,0,0,no,1st
"Bricoux, Mr. Roger Marie",male,20,2nd,S,France,250654,,,,no,2nd
"Brito, Mr. José Joaquim de",male,32,2nd,S,NA,244360,13,0,0,no,2nd
"Brobäck, Mr. Karl Rudolf",male,22,3rd,S,Sweden,350045,7.1511,0,0,no,3rd
"Brocklebank, Mr. William Alfred",male,40,3rd,S,England,364512,8.01,0,0,no,3rd
"Brown, Miss. Amelia Mary",female,18,2nd,S,England,248733,13,0,0,yes,2nd
"Brown, Miss. Edith Eileen",female,15,2nd,S,South Africa,29750,39,0,2,yes,2nd
"Brown, Mrs. Caroline Lane",female,59,1st,S,United States,11769,51.0907,2,0,yes,1st
"Brown, Mrs. Elizabeth Catherine",female,40,2nd,S,South Africa,29750,39,1,1,yes,2nd
"Brown, Mrs. Margaret",female,44,1st,C,United States,17610,27.1405,0,0,yes,1st
"Brown, Mr. Thomas William Solomon",male,60,2nd,S,South Africa,29750,39,1,1,no,2nd
"Bryhl, Miss. Dagmar Jenny Ingeborg",female,20,2nd,S,Sweden,236853,26,1,0,yes,2nd
"Bryhl, Mr. Kurt Arnold Gottfrid",male,25,2nd,S,Sweden,236853,26,1,0,no,2nd
"Buckley, Miss. Katherine",female,22,3rd,Q,Ireland,329944,7.0508,0,0,no,3rd
"Buckley, Mr. Daniel",male,21,3rd,Q,Ireland,330920,7.1517,0,0,yes,3rd
"Bucknell, Mrs. Emma Eliza",female,58,1st,C,India,11813,76.051,0,0,yes,1st
"Būlus, Master. Akar",male,7,3rd,C,Lebanon,2678,15.0411,1,1,no,3rd
"Būlus, Miss. Nūr al-'ayn",female,10,3rd,C,Lebanon,2678,15.0411,1,1,no,3rd
"Būlus, Mrs. Sultānah",female,40,3rd,C,Lebanon,2678,15.0411,0,2,no,3rd
"Burke, Mr. Jeremiah",male,19,3rd,Q,Ireland,365222,6.15,0,0,no,3rd
"Burns, Miss. Elizabeth Margaret",female,41,1st,C,NA,16966,134.1,0,0,yes,1st
"Burns, Miss. Mary Delia",female,17,3rd,Q,Ireland,330963,7.1707,0,0,no,3rd
"Buss, Miss. Kate",female,36,2nd,S,England,27849,13,0,0,yes,2nd
"Butler, Mr. Reginald Fenton",male,26,2nd,S,England,234686,13,0,0,no,2nd
"Butrus-Ka'wī, Mr. Tannūs",male,21,3rd,C,Lebanon,2648,7.0407,0,0,no,3rd
"Butt, Major. Archibald Willingham",male,46,1st,S,United States,113050,26.11,0,0,no,1st
"Byles, Fr. Thomas Roussel Davids",male,42,2nd,S,England,244310,13,0,0,no,2nd
"Byström, Mrs. Karolina",female,40,2nd,S,United States,236852,13,0,0,yes,2nd
"Cacic, Miss. Manda",female,21,3rd,S,Croatia (Modern),315087,8.1303,0,0,no,3rd
"Cacic, Miss. Marija",female,30,3rd,S,Croatia (Modern),315084,8.1303,0,0,no,3rd
"Cacic, Mr. Jego Grga",male,18,3rd,S,Croatia (Modern),315091,8.1303,0,0,no,3rd
"Cacic, Mr. Luka",male,38,3rd,S,Croatia (Modern),315089,8.1303,0,0,no,3rd
"Cairns, Mr. Alexander Milne",male,28,1st,S,Scotland,113798,31,0,0,no,1st
"Calderhead, Mr. Edward Pennington",male,42,1st,S,United States,17476,26.0509,0,0,yes,1st
"Caldwell, Master. Alden Gates",male,0.8333333333,2nd,S,Siam,248738,29,0,2,yes,2nd
"Caldwell, Mr. Albert Francis",male,26,2nd,S,Siam,248738,29,1,1,yes,2nd
"Caldwell, Mrs. Sylvia Mae",female,28,2nd,S,United States,248738,29,1,1,yes,2nd
"Calic, Mr. Jovo",male,17,3rd,S,Croatia (Modern),315093,8.1303,0,0,no,3rd
"Calic, Mr. Petar",male,17,3rd,S,Croatia (Modern),315086,8.1303,0,0,no,3rd
"Cameron, Miss. Clear Annie",female,35,2nd,S,England,13528,21,0,0,yes,2nd
"Campbell, Mr. William Henry",male,21,2nd,B,Northern Ireland,239853,,0,0,no,2nd
"Canavan, Miss. Mary",female,22,3rd,Q,Ireland,364846,7.15,0,0,no,3rd
"Canavan, Mr. Patrick",male,21,3rd,Q,Ireland,364858,7.15,0,0,no,3rd
"Candee, Mrs. Helen Churchill",female,52,1st,C,United States,17606,27.0811,0,0,yes,1st
"Cann, Mr. Ernest",male,29,3rd,S,England,2152,8.01,0,0,no,3rd
"Caram, Mr. Joseph",male,28,3rd,C,Canada,2689,14.0902,1,0,no,3rd
"Caram, Mrs. Maria Elias",female,18,3rd,C,Lebanon,2689,14.0902,1,0,no,3rd
"Carbines, Mr. William",male,19,2nd,S,England,28424,13,0,0,no,2nd
"Cardeza, Mrs. Charlotte Wardle",female,58,1st,C,United States,17755,512.0607,0,1,yes,1st
"Cardeza, Mr. Thomas Drake Martinez",male,36,1st,C,United States,17755,512.0607,0,1,yes,1st
"Carlsson, Mr. August Sigfrid",male,28,3rd,S,Sweden,350042,7.1511,0,0,no,3rd
"Carlsson, Mr. Carl Robert",male,24,3rd,S,Sweden,350409,7.1701,0,0,no,3rd
"Carlsson, Mr. Frans Olof",male,33,1st,S,United States,695,5,0,0,no,1st
"Carraú-Esteves, Mr. José Pedro",male,17,1st,S,Uruguay,113059,47.02,0,0,no,1st
"Carrau, Mr. Francisco Mauro Severiano",male,27,1st,S,Uruguay,113059,47.02,0,0,no,1st
"Carr, Miss. Jane",female,45,3rd,Q,Ireland,368364,7.15,0,0,no,3rd
"Carter, Fr. Ernest Courtenay",male,54,2nd,S,England,244252,26,1,0,no,2nd
"Carter, Master. William Thornton II",male,11,1st,S,United States,113760,120,1,2,yes,1st
"Carter, Miss. Lucile Polk",female,13,1st,S,United States,113760,120,1,2,yes,1st
"Carter, Mrs. Lilian",female,45,2nd,S,England,244252,26,1,0,no,2nd
"Carter, Mrs. Lucile",female,36,1st,S,United States,113760,120,1,2,yes,1st
"Carter, Mr. William Ernest",male,36,1st,S,United States,113760,120,1,2,yes,1st
"Carver, Mr. Alfred John",male,28,3rd,S,England,370160,7.05,0,0,no,3rd
"Case, Mr. Howard Brown",male,49,1st,S,United States,19924,26,0,0,no,1st
"Cassebeer, Mrs. Eleanor Genevieve",female,36,1st,C,United States,17770,27.1405,0,0,yes,1st
"Cavendish, Mrs. Julia Florence",female,25,1st,S,United States,19877,78.17,1,0,yes,1st
"Cavendish, Mr. Tyrell William",male,36,1st,S,England,19877,78.17,1,0,no,1st
"Celotti, Mr. Francesco",male,24,3rd,S,NA,343275,8.01,0,0,no,3rd
"Chaffee, Mr. Herbert Fuller",male,46,1st,S,United States,5734,61.0306,1,0,no,1st
"Chaffee, Mrs. Carrie Constance",female,47,1st,S,United States,5734,61.0306,1,0,yes,1st
"Chambers, Mr. Norman Campbell",male,27,1st,S,United States,113806,53.02,1,0,yes,1st
"Chambers, Mrs. Bertha",female,32,1st,S,United States,113806,53.02,1,0,yes,1st
"Chapman, Mr. Charles Henry",male,52,2nd,S,United States,248731,13.1,0,0,no,2nd
"Chapman, Mr. John Henry",male,37,2nd,S,England,29037,26,1,0,no,2nd
"Chapman, Mrs. Sara Elizabeth",female,29,2nd,S,England,29037,26,1,0,no,2nd
"Charters, Mr. David",male,20,3rd,Q,Ireland,13032,7.1408,0,0,no,3rd
"Chaudanson, Miss. Victorine",female,36,1st,C,NA,17608,262.0706,0,0,yes,1st
"Cherry, Miss. Gladys",female,30,1st,S,England,110152,86.1,0,0,yes,1st
"Chevré, Mr. Paul Romaine Marie Léonce",male,45,1st,C,Belgium,17594,29.14,0,0,yes,1st
"Chibnall, Mrs. Edith Martha Bowerman",female,48,1st,S,England,113505,55,0,1,yes,1st
"Chip, Mr. Chang",male,32,3rd,S,NA,1601,56.0911,0,0,yes,3rd
"Chisholm, Mr. Roderick Robert Crispin",male,43,1st,B,Scotland,112051,,0,0,no,1st
"Christmann, Mr. Emil",male,29,3rd,S,England,343276,8.01,0,0,no,3rd
"Christy, Miss. Rachel Juli Cohen",female,25,2nd,S,England,237789,30,1,1,yes,2nd
"Christy, Mrs. Alice Frances",female,52,2nd,S,England,237789,30,0,2,yes,2nd
"Chronopoulos, Mr. Apostolos M.",male,26,3rd,C,NA,2680,14.0901,1,0,no,3rd
"Chronopoulos, Mr. Dimitrios M.",male,21,3rd,C,NA,2680,14.0901,1,0,no,3rd
"Clarke, Mr. Charles Valentine",male,29,2nd,S,England,2003,26,1,0,no,2nd
"Clarke, Mr. John Frederick Preston",male,28,2nd,S,England,250654,,,,no,2nd
"Clarke, Mrs. Ada Maria",female,28,2nd,S,England,2003,27,1,0,yes,2nd
"Clark, Mrs. Virginia Estelle",female,26,1st,C,United States,13508,136.1507,1,0,yes,1st
"Clark, Mr. Walter Miller",male,27,1st,C,United States,13508,136.1507,1,0,no,1st
"Cleaver, Miss. Alice Catherine",female,22,1st,S,England,113781,151.16,0,0,yes,1st
"Clifford, Mr. George Quincy",male,40,1st,S,United States,110465,52,0,0,no,1st
"Coelho, Mr. Domingos Fernandeo",male,20,3rd,S,NA,3101307,7.01,0,0,no,3rd
"Cohen, Mr. Gurshon",male,18,3rd,S,England,3540,8.01,0,0,yes,3rd
"Colbert, Mr. Patrick",male,24,3rd,Q,Ireland,371109,7.05,0,0,no,3rd
"Coleff, Mr. Satio",male,24,3rd,S,Bulgaria,349209,7.1711,0,0,no,3rd
"Coleridge, Mr. Reginald Charles",male,29,2nd,S,England,14263,10.1,0,0,no,2nd
"Collander, Mr. Erik Gustaf",male,27,2nd,S,Finland,248740,13,0,0,no,2nd
"Collett, Mr. Sidney Clarence Stuart",male,25,2nd,S,England,28034,10.1,0,0,yes,2nd
"Colley, Mr. Edward Pomeroy",male,37,1st,S,Ireland,5727,25.1109,0,0,no,1st
"Collyer, Miss. Marjorie Lottie",female,8,2nd,S,England,31921,26.05,0,2,yes,2nd
"Collyer, Mr. Harvey",male,31,2nd,S,England,31921,26.05,1,1,no,2nd
"Collyer, Mrs. Charlotte Caroline",female,30,2nd,S,England,31921,26.05,1,1,yes,2nd
"Coltcheff, Mr. Peju",male,36,3rd,S,Bulgaria,349210,7.1711,0,0,no,3rd
"Compton, Miss. Sara Rebecca",female,39,1st,C,United States,17756,83.0302,1,1,yes,1st
"Compton, Mr. Alexander Taylor jr",male,37,1st,C,United States,17756,83.0302,1,1,no,1st
"Compton, Mrs. Mary Eliza",female,64,1st,C,United States,17756,83.0302,0,2,yes,1st
"Conlin, Mr. Thomas Henry",male,31,3rd,Q,United States,21332,7.1408,0,0,no,3rd
"Connaughton, Mr. Michael",male,40,3rd,Q,Ireland,335097,7.15,0,0,no,3rd
"Connolly, Miss. Catherine",female,23,3rd,Q,Ireland,370373,7.15,0,0,yes,3rd
"Connolly, Miss. Kate",female,41,3rd,Q,Ireland,330972,7.1207,0,0,no,3rd
"Connors, Mr. Patrick",male,66,3rd,Q,Ireland,370369,7.15,0,0,no,3rd
"Cook, Mr. Jacob",male,43,3rd,S,NA,3536,8.01,0,0,no,3rd
"Cook, Mrs. Selena",female,22,2nd,S,England,14266,10.1,0,0,yes,2nd
"Corbett, Mrs. Irene",female,30,2nd,S,United States,237249,13,0,0,no,2nd
"Corey, Mrs. Mary Emma",female,32,2nd,S,NA,13534,21,0,0,no,2nd
"Cor, Mr. Bartol",male,35,3rd,S,Croatia (Modern),349230,7.1711,0,0,no,3rd
"Cor, Mr. Ivan",male,27,3rd,S,Hungary,349229,7.1711,0,0,no,3rd
"Cor, Mr. Liudevit",male,19,3rd,S,Hungary,349231,7.1711,0,0,no,3rd
"Cornblatt, Mr. Harris",male,30,3rd,S,Poland,392090,8.01,0,0,no,3rd
"Cornell, Mrs. Malvina Helen",female,55,1st,S,United States,11770,25.141,2,0,yes,1st
"Corr, Miss. Ellen",female,16,3rd,Q,Ireland,367231,7.15,0,0,yes,3rd
"Cotterill, Mr. Henry",male,21,2nd,S,England,29107,11.1,0,0,no,2nd
"Coutts, Master. Neville Leslie",male,3,3rd,S,England,37671,15.18,1,1,yes,3rd
"Coutts, Master. William Loch",male,9,3rd,S,England,37671,15.18,1,1,yes,3rd
"Coutts, Mrs. Winnie",female,36,3rd,S,England,37671,15.18,0,2,yes,3rd
"Coxon, Mr. Daniel",male,58,3rd,S,England,364500,7.05,0,0,no,3rd
"Crafton, Mr. John Bertram",male,59,1st,S,United States,113791,26.11,0,0,no,1st
"Crease, Mr. Ernest James",male,20,3rd,S,United States,3464,8.0302,0,0,no,3rd
"Cribb, Miss. Laura Mae",female,16,3rd,S,United States,371362,16.02,0,1,yes,3rd
"Cribb, Mr. John Hatfield",male,43,3rd,S,Australia,371362,16.02,0,1,no,3rd
"Crosby, Captain. Edward Gifford",male,70,1st,S,United States,5735,71,1,1,no,1st
"Crosby, Miss. Harriette Rebecca",female,39,1st,S,United States,112901,26.11,0,2,yes,1st
"Crosby, Mrs. Catherine Elizabeth",female,64,1st,S,United States,5735,71,1,1,yes,1st
"Culumovic, Mr. Jeso",male,17,3rd,S,Croatia (Modern),315090,8.1303,0,0,no,3rd
"Cumings, Mr. John Bradley",male,39,1st,C,United States,17599,71.0508,1,0,no,1st
"Cumings, Mrs. Florence Briggs",female,35,1st,C,Peru,17599,71.0508,1,0,yes,1st
"Cunningham, Mr. Alfred Fleming",male,22,2nd,B,Northern Ireland,239853,,0,0,no,2nd
